"run","verifierSetUpCPU","verifierSetUpMemory","verifierSetUpTime","proverCPU","proverMemory","proverTime","verifierVerifyCPU","verifierVerifyMemory","verifierVerifyTime"
254,104.55,144.48,445.32,133.33,148.73,23.69,0,148.73,2.4
255,106.52,144.2,455.64,300,148.45,16.47,100,148.45,2.53
256,106.52,144.08,462.7,150,148.33,16.22,0,148.33,2.49
257,104.44,144.08,444.53,200,148.33,16.59,200,148.33,2.5
258,108.7,145.14,467.43,200,147.97,17.36,200,141.86,2.79
259,106.38,145.79,467.57,200,148.37,18.88,0,128.2,3.51
260,108,145.93,496.05,140,148.44,43.36,0,123.6,4.62
261,109.09,146.37,434.42,200,148.75,16.91,0,148.75,2.47
262,104.44,145.3,447.59,150,149.43,17.4,0,149.43,2.39
263,106.67,144.8,446.93,200,149.05,15.46,0,149.05,2.38
264,111.36,144.93,445.59,133.33,147.9,24.39,300,147,5.06
265,106.25,144.72,479.17,150,148.97,24.35,0,148.97,2.57
266,108.89,145.98,448.38,200,150.73,16.3,100,150.73,2.37
267,106.67,146.11,453.05,125,150.49,39.34,100,150.49,5.76
268,113.33,146.12,454.96,100,150.37,16.36,0,150.37,2.57
269,104.44,146.15,442.95,100,150.4,16.32,0,150.4,2.8
270,106.52,146.53,462.62,125,150.91,32.17,0,150.91,3.43
271,106.98,145.95,434.37,200,149.55,17.49,100,149.55,2.47
272,108.89,146.93,449.12,200,151.18,16.52,200,136.99,2.77
273,111.11,146.43,451.42,133.33,148.8,22.07,0,148.8,2.51
274,108.7,145.75,455.33,150,148.44,17.39,0,128.25,4.37
275,108.89,144.87,451.27,150,148.34,16.77,100,148.34,2.65
276,104.35,145.37,462.37,150,149.62,22.97,100,149.62,2.39
277,106.82,145.11,442.14,150,149.36,15.53,0,149.36,2.35
278,104.44,145.17,446.89,400,148.65,16.32,0,148.65,2.46
279,108.89,145.27,452.91,125,149.52,33.41,0,149.52,5.89
280,111.11,145.63,448.32,100,150.38,16.93,0,150.38,2.61
281,104.44,146.22,443.52,150,150.47,16.71,0,150.47,2.58
282,108.51,145.98,468.78,100,150.23,18.95,0,150.23,2.5
