"run","proverSetUpCPU","proverSetUpMemory","proverSetUpTime","verifierCPU","verifierMemory","verifierTime","proverDecryptCPU","proverDecryptMemory","proverDecryptTime","verifierVerifyCPU","verifierVerifyMemory","verifierVerifyTime"
374,188.51,1326.81,2645.07,215.02,1127.54,166290.67,104.69,1111,251.9,156.35,1111.13,0.96
375,186.01,1329.89,2685.44,212.42,1123.72,153314.41,104.73,1111.28,251.26,266.7,1111.28,0.99
376,181.78,1330.14,2590.62,208.75,1115.56,162188.18,104.33,1115.56,248.28,152.75,1115.68,1.16
377,187.81,1338.77,2624.52,210.88,1133.22,157664.17,104.46,1111.24,245.13,234.2,1111.24,0.94
378,184.92,1330.09,2653.02,213.61,1131.41,159644,104.84,1111.23,249.94,277.4,1111.23,0.96
379,190.83,1329.77,2669.83,207.91,1135.95,170139.63,112.1,1135.68,256.29,217.1,1111.34,0.93
380,191,1330.14,2680.05,207.36,1127.53,166468.23,113.98,1127.01,251.41,193.35,1111,0.99
381,186.23,1343.08,2580.37,209.14,1123.49,168509.24,104.25,1123.49,264.66,132.45,1123.49,0.96
382,195.27,1330.03,2635.94,215.45,1126.27,171590.72,104.53,1111.53,251.6,262.7,1111.53,0.96
383,194.96,1321.78,2641.35,216.8,1119.68,162270.75,104.23,1119.68,247.74,126.75,1119.8,0.9
384,185.38,1307.92,2709.4,206.6,1080.18,178748.94,104.29,1068.11,251.8,152.2,1068.11,1.03
385,179.74,1286.8,2601.14,206.15,1079.13,171012.85,105.4,1066.89,245.33,301.3,1066.89,1.06
386,177.88,1272.67,2708.84,211.1,1075.87,163219.27,104,1075.87,245.2,160.8,1075.87,0.99
387,188.95,1286.5,2626.63,212.73,1071.55,157403.76,104.41,1067.77,269.42,184.6,1067.77,1
388,197.17,1286.57,2685.87,211.38,1080.07,167094.43,103.79,1080.07,294.16,162.25,1080.07,1.04
389,191.92,1284.19,2917.52,211.77,1072.2,171531.27,104.39,1072.32,256.32,210.93,1072.32,2.42
390,195.24,1283.75,2727.06,213.71,1076.44,170907.36,103.41,1076.44,296.14,155.95,1076.44,1.04
391,189.16,1286.46,2965.85,209.52,1096.47,170281.1,105.84,1067.73,248.8,148.05,1067.86,0.98
392,190.77,1286.59,2672.28,211.84,1088.04,172591.37,104.52,1067.73,273.17,164.25,1067.73,1.1
393,193.52,1286.68,2719.62,214.94,1084.18,161988.13,109.82,1082.54,256.81,207.8,1067.76,0.89
394,193.8,1286.56,2703.23,211.64,1077.51,160108.9,104.35,1072.41,269.98,138.9,1072.41,0.99
395,178.21,1290.61,3243.7,212.95,1075.57,180725.12,104.2,1071.66,254.25,302.8,1071.66,1.09
396,180.8,1283.89,3003.19,210.55,1071.05,167934.59,103.84,1067.01,266.7,258.8,1067.01,1
397,197.35,1293.44,2773.75,211.28,1090.1,183485.38,104.7,1067.5,270.03,150,1067.5,0.98
398,194.18,1286.12,2690.67,213.48,1071.6,167684.9,104.35,1071.72,246.59,139.45,1071.72,1.01
399,183.62,1286.03,2621.24,215.16,1079.25,164904.32,103.14,1067.01,326.26,197.15,1067.01,1.27
400,186.75,1286.23,3288.77,216.32,1053.43,182961,103.9,1042.68,300.16,148.05,1042.68,1.09
